Time@Package_Name@Subscription_ID@Version@SFN@Sub-fn@CDRX_Event@Internal_Field_Mask
2022 Sep 15  07:21:15.082@LTE_ML1_CDRX_Events_Info@1@2@997@9@UL_RETX_TIMER_START@INACTIVITY_TIMER:PENDING_UL_RETX
2022 Sep 15  07:21:15.082@LTE_ML1_CDRX_Events_Info@1@2@998@2@UL_RETX_TIMER_END@INACTIVITY_TIMER
2022 Sep 15  07:21:15.082@LTE_ML1_CDRX_Events_Info@1@2@998@3@UL_RETX_TIMER_START@INACTIVITY_TIMER:PENDING_UL_RETX
2022 Sep 15  07:21:15.082@LTE_ML1_CDRX_Events_Info@1@2@998@3@SR_START@INACTIVITY_TIMER:PENDING_SR:PENDING_UL_RETX
2022 Sep 15  07:21:15.082@LTE_ML1_CDRX_Events_Info@1@2@998@4@INACTIVITY_TIMER_START@INACTIVITY_TIMER:PENDING_SR:PENDING_UL_RETX
2022 Sep 15  07:21:15.082@LTE_ML1_CDRX_Events_Info@1@2@998@6@UL_RETX_TIMER_END@INACTIVITY_TIMER:PENDING_SR
2022 Sep 15  07:21:15.082@LTE_ML1_CDRX_Events_Info@1@2@998@8@DL_DRX_RETX_TIMER_START@INACTIVITY_TIMER:DRX_RETX_TIMER:PENDING_SR
2022 Sep 15  07:21:15.082@LTE_ML1_CDRX_Events_Info@1@2@999@0@SR_END@INACTIVITY_TIMER:DRX_RETX_TIMER
2022 Sep 15  07:21:15.082@LTE_ML1_CDRX_Events_Info@1@2@999@1@INACTIVITY_TIMER_START@INACTIVITY_TIMER:DRX_RETX_TIMER
2022 Sep 15  07:21:15.082@LTE_ML1_CDRX_Events_Info@1@2@999@1@UL_RETX_TIMER_START@INACTIVITY_TIMER:DRX_RETX_TIMER:PENDING_UL_RETX
2022 Sep 15  07:21:15.082@LTE_ML1_CDRX_Events_Info@1@2@999@4@UL_RETX_TIMER_END@INACTIVITY_TIMER
2022 Sep 15  07:21:15.082@LTE_ML1_CDRX_Events_Info@1@2@999@5@UL_RETX_TIMER_START@INACTIVITY_TIMER:PENDING_UL_RETX
2022 Sep 15  07:21:15.082@LTE_ML1_CDRX_Events_Info@1@2@999@8@UL_RETX_TIMER_END@INACTIVITY_TIMER
2022 Sep 15  07:21:15.082@LTE_ML1_CDRX_Events_Info@1@2@999@9@INACTIVITY_TIMER_START@INACTIVITY_TIMER
2022 Sep 15  07:21:15.082@LTE_ML1_CDRX_Events_Info@1@2@999@9@UL_RETX_TIMER_START@INACTIVITY_TIMER:PENDING_UL_RETX
2022 Sep 15  07:21:15.082@LTE_ML1_CDRX_Events_Info@1@2@1000@1@INACTIVITY_TIMER_START@INACTIVITY_TIMER:PENDING_UL_RETX
2022 Sep 15  07:21:15.082@LTE_ML1_CDRX_Events_Info@1@2@1000@1@SR_END@INACTIVITY_TIMER:PENDING_UL_RETX
2022 Sep 15  07:21:15.082@LTE_ML1_CDRX_Events_Info@1@2@1000@2@INACTIVITY_TIMER_START@INACTIVITY_TIMER:PENDING_UL_RETX
2022 Sep 15  07:21:15.082@LTE_ML1_CDRX_Events_Info@1@2@1000@2@UL_RETX_TIMER_END@INACTIVITY_TIMER
2022 Sep 15  07:21:15.082@LTE_ML1_CDRX_Events_Info@1@2@1000@3@UL_RETX_TIMER_START@INACTIVITY_TIMER:PENDING_UL_RETX
2022 Sep 15  07:21:15.082@LTE_ML1_CDRX_Events_Info@1@2@1000@4@INACTIVITY_TIMER_START@INACTIVITY_TIMER:PENDING_UL_RETX
2022 Sep 15  07:21:15.082@LTE_ML1_CDRX_Events_Info@1@2@1000@6@UL_RETX_TIMER_END@INACTIVITY_TIMER
2022 Sep 15  07:21:15.082@LTE_ML1_CDRX_Events_Info@1@2@1000@6@UL_RETX_TIMER_START@INACTIVITY_TIMER:PENDING_UL_RETX
2022 Sep 15  07:21:15.082@LTE_ML1_CDRX_Events_Info@1@2@1000@9@UL_RETX_TIMER_END@INACTIVITY_TIMER
2022 Sep 15  07:21:15.082@LTE_ML1_CDRX_Events_Info@1@2@1001@1@UL_RETX_TIMER_START@INACTIVITY_TIMER:PENDING_UL_RETX
2022 Sep 15  07:21:15.082@LTE_ML1_CDRX_Events_Info@1@2@1001@4@UL_RETX_TIMER_END@INACTIVITY_TIMER
